source,target
481,930
481,938
481,723
481,756
481,846
481,762
481,811
481,875
481,567
481,773
481,988
481,1028
481,1057
481,1054
481,622
481,843
481,599
481,815
481,805
481,844
481,977
481,621
481,1047
481,731
481,806
481,561
481,797
481,550
481,1031
481,1004
481,831
481,507
481,703
481,1003
481,1081
481,670
481,1001
481,1084
481,916
481,749
481,615
481,744
481,853
481,661
481,990
481,688
481,1042
481,529
481,1068
481,591
481,960
481,816
481,515
481,636
481,576
481,673
481,530
481,641
481,780
481,596
481,1011
481,660
481,1014
481,826
481,986
481,648
481,740
481,728
481,548
481,950
481,593
481,726
481,814
481,1015
481,787
481,627
481,836
481,689
481,942
481,1019
481,877
481,620
481,949
481,851
481,920
481,961
481,795
481,566
481,982
481,879
481,1020
481,867
481,758
481,940
481,687
481,948
481,608
481,701
481,955
481,613
481,985
481,1075
481,889
481,987
481,602
481,894
481,962
481,541
481,804
481,609
481,714
481,626
481,1079
481,533
481,715
481,675
481,865
481,989
481,600
481,992
481,674
481,979
481,1058
481,630
481,833
481,553
481,534
481,1043
481,1076
481,808
481,909
481,901
481,765
481,1041
481,882
481,966
481,646
481,1006
481,589
481,1032
481,1080
481,863
481,810
481,974
481,665
481,644
481,1009
481,638
481,812
481,908
481,824
481,881
481,782
481,597
481,692
481,578
481,520
481,895
481,719
481,700
481,764
481,983
481,819
481,1077
481,574
481,694
481,911
481,967
481,585
481,1000
481,813
481,1029
481,611
481,551
481,696
481,1070
481,573
481,536
481,981
481,668
481,624
481,555
481,818
481,1065
481,779
481,791
481,785
481,899
814,930
814,784
814,1001
814,977
814,218
814,890
814,740
814,726
814,762
814,291
814,368
814,338
814,482
814,496
814,397
814,261
814,392
814,183
814,313
814,60
814,286
814,456
814,1054
814,196
814,846
814,961
814,602
814,65
814,451
814,341
814,5
814,411
814,109
814,91
814,380
814,138
814,112
814,391
814,7
814,566
814,673
814,240
814,178
814,297
814,77
814,84
814,179
814,16
814,81
814,185
814,892
814,221
814,950
814,746
814,143
814,339
814,1076
814,717
814,621
814,853
814,76
814,113
814,166
814,204
814,682
814,808
814,609
814,695
814,38
814,843
596,147
596,304
596,484
596,341
596,323
596,432
596,399
596,106
596,170
596,884
596,260
596,986
596,892
596,489
596,314
596,693
596,282
596,448
596,474
596,167
596,226
596,333
596,300
596,444
596,870
596,274
596,828
596,117
596,207
596,1043
596,832
596,24
596,547
596,983
596,858
596,641
596,981
596,715
596,454
596,1018
596,551
422,930
422,793
422,756
422,846
422,762
422,935
422,622
422,779
422,805
422,626
422,907
422,919
422,977
422,621
422,628
422,1001
422,834
422,580
422,1047
422,720
422,1074
422,581
422,746
422,997
422,705
422,951
422,990
422,731
422,956
422,806
422,991
422,561
422,1048
422,909
422,582
422,797
422,591
422,647
422,694
422,550
422,878
422,1084
422,668
422,1077
422,810
422,569
422,1031
422,1069
422,1085
422,718
422,1063
422,555
422,947
422,1004
422,1072
422,915
422,748
422,511
422,601
422,563
422,730
422,549
422,583
422,831
422,889
422,1042
422,747
422,893
422,998
422,616
422,507
422,752
422,1081
422,703
422,1003
422,735
422,685
422,1079
422,670
422,514
422,975
422,973
422,854
422,839
422,916
422,674
422,1046
422,529
422,787
422,572
422,900
422,902
422,684
422,958
422,969
422,1082
422,1000
422,648
422,553
422,811
422,843
422,992
422,613
422,971
422,534
422,1043
422,939
422,697
422,1080
422,863
422,524
422,844
422,742
422,1051
422,830
422,984
422,824
422,782
422,597
422,880
422,818
757,726
757,599
757,83
757,85
757,111
757,189
757,195
757,196
757,216
757,311
